[Command: python -u /Users/ianlewis/Documents/GitHub/ianlew.is/dev-projects/Map/loc_estimator.py]
[54.3232927, 10.1227651]
[-22.8115667, -43.1544605]
[44.4267674, 26.1025384]
[40.6353493, 17.8772696]
[35.6894875, 139.6917064]
['Zero Results', 'Zero Results']
[-17.5226261, 146.0285223]
[35.171723, -103.7249662]
[13.4548761, -16.5790323]
[46.65698709999999, 9.578025700000001]
[51.5711476, 8.105754]
[-37.831111, 145.36]
[51.105097, -2.9262307]
[49.214439, -2.13125]
[52.3105386, 4.7682744]
[50.4452112, -104.6188943]
[13.4548761, -16.5790323]
[33.3128057, 44.3614875]
[38.0722847, -122.8817367]
[19.4326077, -99.133208]
[30.3953462, 125.9152074]
[26.1719444, 127.2372222]
[52.3702157, 4.895167900000001]
[-12.4634403, 130.8456418]
[48.856614, 2.3522219]
[46.4083362, -105.8405582]
[-22.9068467, -43.1728965]
[-14.4521139, 132.2715145]
['Zero Results', 'Zero Results']
[64.2008413, -149.4936733]
[49.44323199999999, 1.099971]
[50.89229049999999, 4.4176727]
[5.255906, -75.1538939]
[38.9066791, -77.06285199999999]
[35.4675602, -97.5164276]
[31.6294723, -7.981084500000001]
[-18.665695, 35.529562]
[31.6294723, -7.981084500000001]
[-2.1709979, -79.9223592]
[52.3105386, 4.7682744]
[51.4536672, 3.5709125]
[47.6779496, 9.173238399999999]
[41.3850639, 2.1734035]
[-22.9068467, -43.1728965]
[55.6760968, 12.5683372]
[31.55460609999999, 74.3571581]
[52.3758916, 9.732010400000002]
[56.511018, 3.515625]
[50.794995, -1.117547]
[36.140751, -5.353585]
[35.8582865, 14.4868883]
[31.5084926, -9.7595041]
[-8.670458199999999, 115.2126293]
[39.2982629, 16.2537357]
[7.119349, -73.1227416]
[24.7142573, 58.73736339999999]
[38.7925148, 15.214917]
[56.1113678, -4.6288602]
[33.9191799, -118.4164652]
[59.62535409999999, 25.01058]
[49.276656, -0.258658]
[19.75, 107.75]
[52.3758916, 9.732010400000002]
[-35.2809368, 149.1300092]
[46.7712101, 23.6236353]
[39.2726017, -77.636657]
[36.858819, 119.398525]
[52.52000659999999, 13.404954]
[-18.316667, -58.13333299999999]
[40.9180005, -111.8721601]
[-22.9068467, -43.1728965]
[52.1313922, 13.2162494]
[34.5531284, 18.0480105]
[41.8781136, -87.6297982]
[34.5531284, 18.0480105]
[-3.8447976, -32.4268917]
[47.04650050000001, 21.9189438]
[34.341574, 108.93977]
[37.9409546, -93.4014445]
[50.296741, -89.058273]
[33.7489954, -84.3879824]
[63.4305149, 10.3950528]
[-32.3134951, 18.350464]
[-14.5994134, -28.6731465]
[44.4267674, 26.1025384]
[38.848848, 135]
[55.5806165, -5.2108573]
[55.458564, -4.629179000000001]
[-23.5505199, -46.63330939999999]
['Zero Results', 'Zero Results']
[55.424117, -5.605373999999999]
[18.4655394, -66.1057355]
[41.39810809999999, 23.2066849]
[46.8737648, -96.76780389999999]
[42.7777214, -81.18265269999999]
[25.7616798, -80.1917902]
[36.1699412, -115.1398296]
[1.4748305, 124.8420794]
[-10.1771997, 123.6070329]
[-10.1633577, 123.5814275]
['Zero Results', 'Zero Results']
[50.3754565, -4.1426565]
[-27.5, 153.133333]
[-33.137551, 81.826172]
[-15.4825, 128.122778]
[-17.9614336, 122.235852]
[24.880095, 102.832891]
[-13.823056, 131.833333]
[40.7607793, -111.8910474]
[46.4083362, -105.8405582]
[41.9027835, 12.4963655]
[37.4223352, -81.64371969999999]
[-28.7056426, 153.6143635]
[53.2246219, -4.197995]
[36.753768, 3.0587561]
['Zero Results', 'Zero Results']
[10.691803, -61.222503]
[50.85515059999999, 0.5630909]
[58.250685, -3.433149]
[13.531665, -2.4604145]
[36.5062122, 2.5693337]
[-23.5505199, -46.63330939999999]
[18.0797513, -66.3682106]
[24.880095, 102.832891]
[49.1422983, -55.3440853]
[47.507335, 19.0930072]
[33.8302961, -116.5452921]
[60.47202399999999, 8.468945999999999]
[56.01528339999999, 92.8932476]
[56.3156386, 55.40583729999999]
[40.2621714, -112.0929961]
[48.2081743, 16.3738189]
[49.1579401, -121.9514666]
['Zero Results', 'Zero Results']
[5.8520355, -55.2038278]
['Zero Results', 'Zero Results']
[39.1501709, -123.2077831]
[-15.74447, -73.871483]
[48.954408, -54.6103488]
[47.6062095, -122.3320708]
[38.7222524, -9.1393366]
[28.46763, 119.922796]
[28.5983159, 83.9310623]
[-27.571556, 153.0120567]
[56.511018, 3.515625]
[-9.4780123, 147.1506542]
[48.545436, -2.4235159]
[34.81516330000001, -79.18309099999999]
[-21.1424956, 149.1821469]
[15.5006544, 32.5598994]
[15.5006544, 32.5598994]
[36.140751, -5.353585]
[52.27416669999999, -10.2497222]
[36.7853194, -86.3533242]
[44.936664, 26.0128616]
[-19.2589635, 146.8169483]
['Zero Results', 'Zero Results']
[-22.9068467, -43.1728965]
[56.511018, 3.515625]
[29.3013479, -94.7976958]
[34.7351614, -79.3489317]
[22.572646, 88.36389500000001]
[35.77895650000001, -87.46695869999999]
[46.3182025, -74.2661597]
[32.4609764, -84.9877094]
[58.3333333, 11.2166667]
[32.1063106, 20.101545]
[18.5204303, 73.8567437]
[24.880095, 102.832891]
[24.880095, 102.832891]
[-9.4780123, 147.1506542]
[56.706922, -2.466115]
[22.2811827, 114.1562961]
[-22.9779158, 150.2743921]
[40.653788, -112.7625703]
[44.786568, 20.4489216]
